watershed_group_code,total,xing_type_cbs,xing_type_obs,src_dra,src_ften,src_ogcpermit,src_ogcpre06
ADMS,3381,3324,57,3056,325,0,0
ALBN,6345,6095,250,5731,596,0,0
ATLL,853,840,13,853,0,0,0
ATNA,591,573,18,565,26,0,0
BABL,4525,4443,82,3784,741,0,0
BABR,1123,1082,41,906,217,0,0
BBAR,4642,4621,21,4433,114,0,0
BEAV,673,657,16,657,14,2,0
BELA,759,705,54,702,57,0,0
BIGC,670,651,19,528,142,0,0
BLAR,2530,2503,27,2231,299,0,0
BLUR,90,87,3,90,0,0,0
BONP,5800,5737,63,5281,461,0,0
BOWR,3275,3199,76,2987,288,0,0
BRID,1334,1264,70,1147,177,0,0
BRKS,5766,5685,81,4537,1229,0,0
BULK,5695,5409,286,5177,369,1,0
BULL,5147,5009,138,4849,280,0,0
CAMB,1291,1237,54,1274,17,0,0
CANO,887,863,24,855,12,0,0
CARP,2033,2020,13,1895,138,0,0
CARR,1364,1327,37,1209,155,0,0
CHES,1191,1175,16,960,231,0,0
CHIL,1375,1361,14,1336,39,0,0
CHIR,618,609,9,614,4,0,0
CHWK,1569,1444,125,1475,61,0,0
CLAY,2654,2521,133,2525,129,0,0
CLRH,2311,2211,100,2130,122,0,0
CLWR,1141,1115,26,1062,79,0,0
COAL,220,217,3,220,0,0,0
COLR,5004,4864,140,4701,193,0,0
COMX,3262,3145,117,3168,85,0,0
COTR,6343,6260,83,5685,598,0,0
COWN,6879,6752,127,6794,51,0,0
CRKD,3671,3636,35,3444,186,0,0
DEAD,2021,1976,45,1889,131,0,0
DEAL,505,499,6,505,0,0,0
DEAR,191,187,4,191,0,0,0
DOGC,1911,1899,12,1670,241,0,0
DRIR,663,651,12,572,51,0,0
DUNC,1705,1594,111,1566,139,0,0
DUNE,1078,1023,55,1019,37,22,0
ELKR,7451,7227,224,7180,94,2,0
EUCH,838,824,14,658,180,0,0
EUCL,445,438,7,358,87,0,0
FINA,3156,3079,77,2918,238,0,0
FINL,1051,1038,13,1008,43,0,0
FIRE,416,401,15,416,0,0,0
FONT,978,886,92,965,0,6,1
FOXR,41,40,1,41,0,0,0
FRAN,6961,6874,87,6308,564,6,0
FRCN,5985,5746,239,5443,299,0,0
FROG,8,7,1,8,0,0,0
GLAR,53,53,0,53,0,0,0
GOLD,5215,5007,208,4491,724,0,0
GRAI,3625,3436,189,3333,292,0,0
GRNL,969,946,23,806,148,0,0
GUIC,2418,2388,30,2171,247,0,0
HARR,4257,4047,210,3946,250,0,0
HAYR,427,328,99,390,0,36,1
HERR,1056,1019,37,949,107,0,0
HOLB,2872,2708,164,2330,542,0,0
HOMA,1516,1468,48,1400,116,0,0
HORS,2352,2197,155,1932,420,0,0
INGR,359,348,11,341,18,0,0
INKR,8,8,0,8,0,0,0
ISKR,411,395,16,388,23,0,0
JERV,5299,5154,145,4681,618,0,0
KAHN,1789,1728,61,1761,17,6,5
KAKC,121,119,2,116,5,0,0
KCHL,1195,1017,178,1170,3,22,0
KEEC,2,2,0,2,0,0,0
KETL,12544,12319,225,10624,1907,0,0
KHOR,4131,3990,141,3755,224,0,0
KHTZ,639,634,5,503,136,0,0
KINR,525,497,28,489,36,0,0
KISK,2397,2285,112,2273,77,37,0
KISP,2745,2691,54,2526,195,0,0
KITL,161,151,10,156,5,0,0
KITR,1880,1797,83,1712,127,13,0
KLAR,157,153,4,157,0,0,0
KLIN,1538,1499,39,1402,136,0,0
KLUM,2636,2489,147,2426,141,0,0
KNIG,4646,4569,77,4130,516,0,0
KOTL,8466,8128,338,7893,361,0,0
KOTR,4274,4138,136,3994,280,0,0
KSHR,219,201,18,214,5,0,0
KTSU,14,13,1,14,0,0,0
KUMR,204,203,1,141,63,0,0
KUSR,222,218,4,172,0,0,0
LARL,8521,8271,250,7877,594,0,0
LBIR,691,673,18,625,66,0,0
LBTN,5392,5090,302,5198,29,36,25
LCHL,4695,4627,68,4493,133,0,0
LCHR,3289,3234,55,3064,225,0,0
LDEN,180,171,9,178,2,0,0
LEUT,375,372,3,350,25,0,0
LFRA,4786,4339,447,4490,80,0,0
LFRT,1289,1208,81,1201,27,61,0
LHAF,4005,3925,80,3780,155,66,4
LIAR,712,686,26,710,2,0,0
LILL,3096,2934,162,2756,290,0,0
LISR,25,23,2,25,0,0,0
LKEC,51,51,0,51,0,0,0
LKEL,378,350,28,345,19,0,0
LMUS,1727,1683,44,1683,44,0,0
LNAR,1593,1502,91,1500,93,0,0
LNIC,5979,5874,105,5288,678,12,0
LNRS,1642,1627,15,1525,117,0,0
LNTH,8427,8297,130,7557,718,8,0
LOMI,1415,1383,32,1232,183,0,0
LPCE,2700,2579,121,2563,29,29,0
LPET,760,653,107,747,0,11,2
LPRO,907,866,41,825,77,4,1
LRAN,213,212,1,213,0,0,0
LRDO,182,181,1,152,30,0,0
LSAL,2262,2218,44,2159,68,0,0
LSIK,2656,2545,111,2540,12,20,12
LSKE,1306,1183,123,1105,78,0,0
LSTR,58,51,7,58,0,0,0
LTRE,1354,1296,58,1115,219,0,0
MAHD,3715,3662,53,3061,654,0,0
MBNK,34,31,3,34,0,0,0
MCGR,2664,2528,136,2442,222,0,0
MDEA,447,441,6,447,0,0,0
MESC,137,134,3,137,0,0,0
MESI,1071,1053,18,956,115,0,0
MFRA,1516,1506,10,1451,65,0,0
MFRT,1425,1332,93,1322,19,47,4
MIDR,1304,1242,62,1078,175,0,0
MILL,1572,1443,129,1555,0,13,4
MMUS,385,383,2,385,0,0,0
MORI,2317,2214,103,2237,80,0,0
MORK,6016,5857,159,5509,270,0,0
MORR,1714,1689,25,1596,109,7,0
MPRO,1263,1214,49,1260,0,3,0
MSKE,406,398,8,341,65,0,0
MSTR,552,543,9,552,0,0,0
MURR,4429,4266,163,4000,314,10,10
MURT,16,15,1,16,0,0,0
MUSK,1285,1269,16,1215,50,0,0
NAKR,35,34,1,35,0,0,0
NARC,4180,4141,39,3789,363,0,0
NASC,995,988,7,684,311,0,0
NASR,1270,1234,36,1186,84,0,0
NATR,3209,3143,66,2637,572,0,0
NAZR,2587,2545,42,2231,356,0,0
NECL,508,505,3,418,90,0,0
NECR,5979,5890,89,5703,210,0,0
NEVI,1089,1015,74,974,115,0,0
NICL,2899,2849,50,2428,471,0,0
NIEL,1668,1635,33,1393,275,0,0
NIMP,4699,4578,121,3950,749,0,0
OKAN,11379,11156,223,10220,1091,0,0
OSPK,433,414,19,421,12,0,0
OWIK,2168,2104,64,2042,126,0,0
PARA,2058,2003,55,1755,297,1,0
PARK,2615,2498,117,2558,6,0,0
PARS,3834,3700,134,3175,435,2,0
PCEA,2287,2227,60,2136,151,0,0
PINE,5795,5599,196,5080,471,36,0
PITR,3,3,0,3,0,0,0
PORI,165,158,7,119,46,0,0
QUES,4177,4122,55,3563,596,0,0
REVL,2678,2584,94,2534,143,0,0
SAHD,1282,1230,52,1239,0,33,10
SAHT,1537,1358,179,1478,2,28,29
SAJR,1915,1846,69,1666,195,0,0
SALM,3494,3351,143,2916,578,0,0
SALR,1336,1301,35,1189,128,0,0
SANJ,8812,8475,337,8212,600,0,0
SETN,8225,8089,136,7905,174,0,0
SEYM,2857,2817,40,2318,539,0,0
SHEK,801,748,53,778,0,6,17
SHER,46,46,0,46,0,0,0
SHUL,3651,3497,154,3255,303,0,0
SIML,9265,9061,204,7248,2013,4,0
SKGT,677,656,21,671,6,0,0
SLOC,3519,3388,131,3339,179,0,0
SMAR,6412,6233,179,6149,191,0,0
SMOK,1838,1770,68,1774,29,20,15
SPAT,36,36,0,36,0,0,0
SQAM,4792,4587,205,4481,178,0,0
STHM,6158,6024,134,5443,557,0,0
STIR,173,172,1,173,0,0,0
STUL,2373,2323,50,2198,137,0,0
STUR,1774,1748,26,1665,109,0,0
SUST,487,463,24,397,18,0,0
SWIR,149,147,2,149,0,0,0
TABR,3231,3169,62,3042,102,0,0
TAHR,30,29,1,30,0,0,0
TAHS,2904,2814,90,2639,265,0,0
TAKL,1828,1808,20,1590,183,0,0
TASR,758,748,10,734,24,0,0
TATR,157,153,4,157,0,0,0
TAYR,21,21,0,21,0,0,0
TESR,27,27,0,27,0,0,0
THOM,6598,6545,53,5794,180,0,0
TOAD,867,827,40,867,0,0,0
TOBA,4570,4467,103,3959,611,0,0
TOOD,313,303,10,308,5,0,0
TSAY,744,712,32,729,15,0,0
TSEA,1397,1294,103,1310,3,83,1
TSIT,4517,4450,67,3827,690,0,0
TURN,661,659,2,661,0,0,0
TUTR,156,151,5,118,0,0,0
TUYR,21,19,2,21,0,0,0
TWAC,2766,2737,29,2530,162,0,0
UARL,3503,3364,139,3218,194,0,0
UBIR,116,112,4,83,33,0,0
UBTN,5204,4991,213,4969,64,90,47
UCHR,1951,1907,44,1831,120,0,0
UDEN,1400,1308,92,1292,108,0,0
UEUT,495,491,4,470,25,0,0
UFRA,2139,2037,102,1808,105,5,0
UFRT,1081,982,99,1015,0,17,13
UHAF,1995,1963,32,1851,137,7,0
UISR,400,382,18,356,44,0,0
UKEC,104,104,0,104,0,0,0
ULRD,564,552,12,562,2,0,0
UMUS,494,492,2,494,0,0,0
UNRS,1888,1875,13,1672,216,0,0
UNTH,4718,4617,101,4308,259,2,0
UNUR,226,220,6,226,0,0,0
UOMI,631,621,10,536,95,0,0
UPCE,3538,3416,122,3326,162,42,3
UPET,479,473,6,479,0,0,0
UPRO,608,587,21,608,0,0,0
USHU,4123,4010,113,3662,437,0,0
USIK,3602,3514,88,3466,40,59,37
USKE,144,143,1,144,0,0,0
USTK,23,23,0,23,0,0,0
UTRE,936,906,30,859,61,0,0
VICT,1502,1440,62,1477,0,0,0
WILL,3759,3640,119,3408,316,0,0
WORC,575,563,12,489,37,0,0
ZYMO,1714,1609,105,1600,114,0,0
