modelled_crossing_type_sources,n
FWA_EDGE_TYPE,3469
FWA_EDGE_TYPE; GBA_RAILWAY_STRUCTURE_LINES_SP,107
FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP,10
FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; PSCIS,2
FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,16
FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,190
FWA_EDGE_TYPE; PSCIS,17
FWA_EDGE_TYPE; PSCIS; GBA_RAILWAY_STRUCTURE_LINES_SP,1
FWA_EDGE_TYPE; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,98
FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,756
FWA_STREAM_ORDER,391
FWA_STREAM_ORDER; FWA_EDGE_TYPE,351
FWA_STREAM_ORDER; FWA_EDGE_TYPE; GBA_RAILWAY_STRUCTURE_LINES_SP,142
FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP,6
FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; PSCIS,1
FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,15
FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,345
FWA_STREAM_ORDER; FWA_EDGE_TYPE; PSCIS,10
FWA_STREAM_ORDER; FWA_EDGE_TYPE; PSCIS; GBA_RAILWAY_STRUCTURE_LINES_SP,9
FWA_STREAM_ORDER; FWA_EDGE_TYPE; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,61
FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,523
FWA_STREAM_ORDER; GBA_RAILWAY_STRUCTURE_LINES_SP,23
FWA_STREAM_ORDER; MOT_ROAD_STRUCTURE_SP,12
FWA_STREAM_ORDER; MOT_ROAD_STRUCTURE_SP; PSCIS,3
FWA_STREAM_ORDER; MOT_ROAD_STRUCTURE_SP; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,8
FWA_STREAM_ORDER; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,75
FWA_STREAM_ORDER; PSCIS,7
FWA_STREAM_ORDER; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,12
FWA_STREAM_ORDER; TRANSPORT_LINE_STRUCTURE_CODE,269
GBA_RAILWAY_STRUCTURE_LINES_SP,380
MOT_ROAD_STRUCTURE_SP,274
MOT_ROAD_STRUCTURE_SP; PSCIS,56
MOT_ROAD_STRUCTURE_SP; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,73
MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,641
PSCIS,2733
PSCIS; GBA_RAILWAY_STRUCTURE_LINES_SP,10
PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,482
TRANSPORT_LINE_STRUCTURE_CODE,4337
