watershed_group_code,modelled_crossing_type,source,bridge_source,n
ADMS,CBS,DRA,,3001
ADMS,CBS,FTEN,,326
ADMS,OBS,DRA,FWA_EDGE_TYPE,7
ADMS,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,8
ADMS,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
ADMS,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,3
ADMS,OBS,DRA,MOT_ROAD_STRUCTURE_SP,1
ADMS,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
ADMS,OBS,DRA,PSCIS,21
ADMS,OBS,DRA,PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,1
ADMS,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,11
ADMS,OBS,FTEN,FWA_EDGE_TYPE,2
ADMS,OBS,FTEN,PSCIS,1
ALBN,CBS,DRA,,5490
ALBN,CBS,FTEN,,589
ALBN,CBS,RAILWAY,,13
ALBN,OBS,DRA,FWA_EDGE_TYPE,20
ALBN,OBS,DRA,FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP,1
ALBN,OBS,DRA,FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,2
ALBN,OBS,DRA,FWA_EDGE_TYPE; PSCIS,1
ALBN,OBS,DRA,FWA_EDGE_TYPE; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,3
ALBN,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,17
ALBN,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
ALBN,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,2
ALBN,OBS,DRA,MOT_ROAD_STRUCTURE_SP,3
ALBN,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,10
ALBN,OBS,DRA,PSCIS,91
ALBN,OBS,DRA,PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,8
ALBN,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,83
ALBN,OBS,FTEN,PSCIS,1
ALBN,OBS,RAILWAY,FWA_EDGE_TYPE; GBA_RAILWAY_STRUCTURE_LINES_SP,1
ALBN,OBS,RAILWAY,GBA_RAILWAY_STRUCTURE_LINES_SP,4
ATLL,CBS,DRA,,841
ATLL,OBS,DRA,FWA_EDGE_TYPE,2
ATLL,OBS,DRA,FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,2
ATLL,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,1
ATLL,OBS,DRA,FWA_STREAM_ORDER,1
ATLL,OBS,DRA,FWA_STREAM_ORDER; TRANSPORT_LINE_STRUCTURE_CODE,1
ATLL,OBS,DRA,MOT_ROAD_STRUCTURE_SP,1
ATLL,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
ATLL,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,4
ATNA,CBS,DRA,,546
ATNA,CBS,FTEN,,26
ATNA,OBS,DRA,FWA_EDGE_TYPE,1
ATNA,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,1
ATNA,OBS,DRA,FWA_STREAM_ORDER,8
ATNA,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,1
ATNA,OBS,DRA,FWA_STREAM_ORDER; TRANSPORT_LINE_STRUCTURE_CODE,2
ATNA,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,5
BABL,CBS,DRA,,3701
BABL,CBS,FTEN,,723
BABL,OBS,DRA,FWA_EDGE_TYPE,2
BABL,OBS,DRA,FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BABL,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,5
BABL,OBS,DRA,FWA_STREAM_ORDER,1
BABL,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BABL,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,6
BABL,OBS,DRA,FWA_STREAM_ORDER; TRANSPORT_LINE_STRUCTURE_CODE,1
BABL,OBS,DRA,MOT_ROAD_STRUCTURE_SP,1
BABL,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BABL,OBS,DRA,PSCIS,9
BABL,OBS,DRA,PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,1
BABL,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,51
BABL,OBS,FTEN,FWA_STREAM_ORDER,1
BABR,CBS,DRA,,867
BABR,CBS,FTEN,,215
BABR,OBS,DRA,FWA_EDGE_TYPE,2
BABR,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE,2
BABR,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,4
BABR,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,32
BABR,OBS,FTEN,FWA_STREAM_ORDER; FWA_EDGE_TYPE,1
BBAR,CBS,DRA,,4410
BBAR,CBS,FTEN,,113
BBAR,CBS,RAILWAY,,93
BBAR,OBS,DRA,FWA_EDGE_TYPE,1
BBAR,OBS,DRA,FWA_STREAM_ORDER,6
BBAR,OBS,DRA,MOT_ROAD_STRUCTURE_SP,1
BBAR,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BBAR,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,10
BBAR,OBS,RAILWAY,FWA_STREAM_ORDER,1
BBAR,OBS,RAILWAY,GBA_RAILWAY_STRUCTURE_LINES_SP,1
BEAV,CBS,DRA,,643
BEAV,CBS,FTEN,,12
BEAV,CBS,OGC,,2
BEAV,OBS,DRA,FWA_EDGE_TYPE,10
BEAV,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE,2
BEAV,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,2
BEAV,OBS,FTEN,FWA_EDGE_TYPE,2
BELA,CBS,DRA,,649
BELA,CBS,FTEN,,50
BELA,OBS,DRA,FWA_EDGE_TYPE,4
BELA,OBS,DRA,FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,3
BELA,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,6
BELA,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,2
BELA,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,1
BELA,OBS,DRA,FWA_STREAM_ORDER; TRANSPORT_LINE_STRUCTURE_CODE,1
BELA,OBS,DRA,MOT_ROAD_STRUCTURE_SP,3
BELA,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,7
BELA,OBS,DRA,PSCIS,3
BELA,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,22
BELA,OBS,FTEN,FWA_EDGE_TYPE,2
BIGC,CBS,DRA,,509
BIGC,CBS,FTEN,,142
BIGC,OBS,DRA,FWA_EDGE_TYPE,9
BIGC,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE,1
BIGC,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,2
BIGC,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BIGC,OBS,DRA,PSCIS,2
BIGC,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,4
BLAR,CBS,DRA,,2203
BLAR,CBS,FTEN,,300
BLAR,OBS,DRA,FWA_EDGE_TYPE,3
BLAR,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,2
BLAR,OBS,DRA,FWA_STREAM_ORDER,4
BLAR,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,3
BLAR,OBS,DRA,FWA_STREAM_ORDER; TRANSPORT_LINE_STRUCTURE_CODE,4
BLAR,OBS,DRA,MOT_ROAD_STRUCTURE_SP,1
BLAR,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,2
BLAR,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,7
BLAR,OBS,FTEN,FWA_STREAM_ORDER; FWA_EDGE_TYPE,1
BLUR,CBS,DRA,,87
BLUR,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,2
BLUR,OBS,DRA,MOT_ROAD_STRUCTURE_SP,1
BONP,CBS,DRA,,5214
BONP,CBS,FTEN,,456
BONP,CBS,RAILWAY,,56
BONP,OBS,DRA,FWA_EDGE_TYPE,8
BONP,OBS,DRA,FWA_STREAM_ORDER,15
BONP,OBS,DRA,FWA_STREAM_ORDER; MOT_ROAD_STRUCTURE_SP,2
BONP,OBS,DRA,FWA_STREAM_ORDER; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,6
BONP,OBS,DRA,FWA_STREAM_ORDER; TRANSPORT_LINE_STRUCTURE_CODE,18
BONP,OBS,DRA,MOT_ROAD_STRUCTURE_SP,1
BONP,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BONP,OBS,DRA,PSCIS,1
BONP,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,8
BONP,OBS,FTEN,FWA_EDGE_TYPE,1
BONP,OBS,RAILWAY,FWA_STREAM_ORDER; GBA_RAILWAY_STRUCTURE_LINES_SP,1
BONP,OBS,RAILWAY,GBA_RAILWAY_STRUCTURE_LINES_SP,1
BOWR,CBS,DRA,,2919
BOWR,CBS,FTEN,,280
BOWR,OBS,DRA,FWA_EDGE_TYPE,1
BOWR,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,2
BOWR,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE,1
BOWR,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BOWR,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,5
BOWR,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,3
BOWR,OBS,DRA,PSCIS,19
BOWR,OBS,DRA,PSCIS; TRANSPORT_LINE_STRUCTURE_CODE,5
BOWR,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,31
BOWR,OBS,FTEN,FWA_EDGE_TYPE,3
BOWR,OBS,FTEN,FWA_STREAM_ORDER; FWA_EDGE_TYPE,1
BOWR,OBS,FTEN,PSCIS,4
BRID,CBS,DRA,,1079
BRID,CBS,FTEN,,176
BRID,CBS,RAILWAY,,10
BRID,OBS,DRA,FWA_EDGE_TYPE,13
BRID,OBS,DRA,FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BRID,OBS,DRA,FWA_EDGE_TYPE; TRANSPORT_LINE_STRUCTURE_CODE,1
BRID,OBS,DRA,FWA_STREAM_ORDER,5
BRID,OBS,DRA,FWA_STREAM_ORDER; FWA_EDGE_TYPE; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,1
BRID,OBS,DRA,FWA_STREAM_ORDER; MOT_ROAD_STRUCTURE_SP,2
BRID,OBS,DRA,FWA_STREAM_ORDER; MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,6
BRID,OBS,DRA,FWA_STREAM_ORDER; TRANSPORT_LINE_STRUCTURE_CODE,15
BRID,OBS,DRA,MOT_ROAD_STRUCTURE_SP,2
BRID,OBS,DRA,MOT_ROAD_STRUCTURE_SP; TRANSPORT_LINE_STRUCTURE_CODE,3
BRID,OBS,DRA,TRANSPORT_LINE_STRUCTURE_CODE,21
BRKS,CBS,DRA,,4460
BRKS,CBS,FTEN,,1209
BRKS,OBS,DRA,FWA_EDGE_TYPE,10
